raw,replacement,priority,category,notes
\bq\s*(?:3(?:\.0+)?|three)\s*(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.333333333,1,frequency,q 3 day
\b(?:10(?:\.0+)?|ten)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:monthly|months|month|mo|m)\b,0.333333333,1,frequency,10 per month
\b(?:10(?:\.0+)?|ten)\s+(?:monthly)\b,0.333333333,1,frequency,10 month adverb
\bevery\s+(?:3(?:\.0+)?|three)\s+(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.333333333,1,frequency,every 3 day
\b(?:8(?:\.0+)?|eight)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:hours|hour|hrs|hr|h)\b,0.333333333,1,frequency,8 days per hour
\b(?:10(?:\.0+)?|ten)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:monthly|months|month|mo|m)\b,0.333333333,1,frequency,10 days per month
\b(?:11(?:\.0+)?|eleven)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:monthly|months|month|mo|m)\b,0.366666667,1,frequency,11 per month
\b(?:11(?:\.0+)?|eleven)\s+(?:monthly)\b,0.366666667,1,frequency,11 month adverb
\b(?:11(?:\.0+)?|eleven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:monthly|months|month|mo|m)\b,0.366666667,1,frequency,11 days per month
\b(?:9(?:\.0+)?|nine)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:hours|hour|hrs|hr|h)\b,0.375,1,frequency,9 days per hour
\b(?:12(?:\.0+)?|twelve)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:monthly|months|month|mo|m)\b,0.4,1,frequency,12 per month
\b(?:12(?:\.0+)?|twelve)\s+(?:monthly)\b,0.4,1,frequency,12 month adverb
\b(?:12(?:\.0+)?|twelve)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:monthly|months|month|mo|m)\b,0.4,1,frequency,12 days per month
\b(?:10(?:\.0+)?|ten)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:hours|hour|hrs|hr|h)\b,0.416666667,1,frequency,10 days per hour
\b(?:3(?:\.0+)?|three)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:weekly|weeks|week|wks|wk|w)\b,0.428571429,1,frequency,3 per week
\b(?:3(?:\.0+)?|three)\s+(?:weekly)\b,0.428571429,1,frequency,3 week adverb
\b(?:3(?:\.0+)?|three)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:weekly|weeks|week|wks|wk|w)\b,0.428571429,1,frequency,3 days per week
\b(?:11(?:\.0+)?|eleven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:hours|hour|hrs|hr|h)\b,0.458333333,1,frequency,11 days per hour
\bq\s*(?:2(?:\.0+)?|two)\s*(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.5,1,frequency,q 2 day
\bevery\s+(?:2(?:\.0+)?|two)\s+(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,0.5,1,frequency,every 2 day
\b(?:12(?:\.0+)?|twelve)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:hours|hour|hrs|hr|h)\b,0.5,1,frequency,12 days per hour
\b(?:4(?:\.0+)?|four)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:weekly|weeks|week|wks|wk|w)\b,0.571428571,1,frequency,4 per week
\b(?:4(?:\.0+)?|four)\s+(?:weekly)\b,0.571428571,1,frequency,4 week adverb
\b(?:4(?:\.0+)?|four)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:weekly|weeks|week|wks|wk|w)\b,0.571428571,1,frequency,4 days per week
\b(?:5(?:\.0+)?|five)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:weekly|weeks|week|wks|wk|w)\b,0.714285714,1,frequency,5 per week
\b(?:5(?:\.0+)?|five)\s+(?:weekly)\b,0.714285714,1,frequency,5 week adverb
\b(?:5(?:\.0+)?|five)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:weekly|weeks|week|wks|wk|w)\b,0.714285714,1,frequency,5 days per week
\b(?:6(?:\.0+)?|six)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:weekly|weeks|week|wks|wk|w)\b,0.857142857,1,frequency,6 per week
\b(?:6(?:\.0+)?|six)\s+(?:weekly)\b,0.857142857,1,frequency,6 week adverb
\b(?:6(?:\.0+)?|six)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:weekly|weeks|week|wks|wk|w)\b,0.857142857,1,frequency,6 days per week
\b(?:1(?:\.0+)?|one)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,1,1,frequency,1 per day
\b(?:1(?:\.0+)?|one)\s+(?:daily)\b,1,1,frequency,1 day adverb
\bq\s*(?:1(?:\.0+)?|one)\s*(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,1,1,frequency,q 1 day
\b(?:7(?:\.0+)?|seven)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:weekly|weeks|week|wks|wk|w)\b,1,1,frequency,7 per week
\b(?:7(?:\.0+)?|seven)\s+(?:weekly)\b,1,1,frequency,7 week adverb
\bevery\s+(?:1(?:\.0+)?|one)\s+(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,1,1,frequency,every 1 day
\b(?:7(?:\.0+)?|seven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:weekly|weeks|week|wks|wk|w)\b,1,1,frequency,7 days per week
\bonce\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,1,1,frequency,once per day
\b(?:8(?:\.0+)?|eight)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:weekly|weeks|week|wks|wk|w)\b,1.142857143,1,frequency,8 per week
\b(?:8(?:\.0+)?|eight)\s+(?:weekly)\b,1.142857143,1,frequency,8 week adverb
\b(?:8(?:\.0+)?|eight)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:weekly|weeks|week|wks|wk|w)\b,1.142857143,1,frequency,8 days per week
\b(?:9(?:\.0+)?|nine)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:weekly|weeks|week|wks|wk|w)\b,1.285714286,1,frequency,9 per week
\b(?:9(?:\.0+)?|nine)\s+(?:weekly)\b,1.285714286,1,frequency,9 week adverb
\b(?:9(?:\.0+)?|nine)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:weekly|weeks|week|wks|wk|w)\b,1.285714286,1,frequency,9 days per week
\b(?:10(?:\.0+)?|ten)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:weekly|weeks|week|wks|wk|w)\b,1.428571429,1,frequency,10 per week
\b(?:10(?:\.0+)?|ten)\s+(?:weekly)\b,1.428571429,1,frequency,10 week adverb
\b(?:10(?:\.0+)?|ten)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:weekly|weeks|week|wks|wk|w)\b,1.428571429,1,frequency,10 days per week
\b(?:11(?:\.0+)?|eleven)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:weekly|weeks|week|wks|wk|w)\b,1.571428571,1,frequency,11 per week
\b(?:11(?:\.0+)?|eleven)\s+(?:weekly)\b,1.571428571,1,frequency,11 week adverb
\b(?:11(?:\.0+)?|eleven)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:weekly|weeks|week|wks|wk|w)\b,1.571428571,1,frequency,11 days per week
\b(?:12(?:\.0+)?|twelve)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:weekly|weeks|week|wks|wk|w)\b,1.714285714,1,frequency,12 per week
\b(?:12(?:\.0+)?|twelve)\s+(?:weekly)\b,1.714285714,1,frequency,12 week adverb
\b(?:12(?:\.0+)?|twelve)\s*(?:d|day|days)\s*(?:/\s*|per\s*|a\s*|each\s*|in\s*)?\s*(?:weekly|weeks|week|wks|wk|w)\b,1.714285714,1,frequency,12 days per week
\b(?:2(?:\.0+)?|two)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,2,1,frequency,2 per day
\b(?:2(?:\.0+)?|two)\s+(?:daily)\b,2,1,frequency,2 day adverb
\bq\s*(?:12(?:\.0+)?|twelve)\s*(?:hours|hour|hrs|hr|h)\b,2,1,frequency,q 12 hour
\bevery\s+(?:12(?:\.0+)?|twelve)\s+(?:hours|hour|hrs|hr|h)\b,2,1,frequency,every 12 hour
\btwice\s*(?:/\s*|same\s*each\s*|every\s*|per\s*|a\s*)?(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,2,1,frequency,twice per day
\bq\s*(?:11(?:\.0+)?|eleven)\s*(?:hours|hour|hrs|hr|h)\b,2.181818182,1,frequency,q 11 hour
\bevery\s+(?:11(?:\.0+)?|eleven)\s+(?:hours|hour|hrs|hr|h)\b,2.181818182,1,frequency,every 11 hour
\bq\s*(?:10(?:\.0+)?|ten)\s*(?:hours|hour|hrs|hr|h)\b,2.4,1,frequency,q 10 hour
\bevery\s+(?:10(?:\.0+)?|ten)\s+(?:hours|hour|hrs|hr|h)\b,2.4,1,frequency,every 10 hour
\bq\s*(?:9(?:\.0+)?|nine)\s*(?:hours|hour|hrs|hr|h)\b,2.666666667,1,frequency,q 9 hour
\bevery\s+(?:9(?:\.0+)?|nine)\s+(?:hours|hour|hrs|hr|h)\b,2.666666667,1,frequency,every 9 hour
\b(?:3(?:\.0+)?|three)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,3,1,frequency,3 per day
\b(?:3(?:\.0+)?|three)\s+(?:daily)\b,3,1,frequency,3 day adverb
\bq\s*(?:8(?:\.0+)?|eight)\s*(?:hours|hour|hrs|hr|h)\b,3,1,frequency,q 8 hour
\bevery\s+(?:8(?:\.0+)?|eight)\s+(?:hours|hour|hrs|hr|h)\b,3,1,frequency,every 8 hour
\bq\s*(?:7(?:\.0+)?|seven)\s*(?:hours|hour|hrs|hr|h)\b,3.428571429,1,frequency,q 7 hour
\bevery\s+(?:7(?:\.0+)?|seven)\s+(?:hours|hour|hrs|hr|h)\b,3.428571429,1,frequency,every 7 hour
\b(?:4(?:\.0+)?|four)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,4,1,frequency,4 per day
\b(?:4(?:\.0+)?|four)\s+(?:daily)\b,4,1,frequency,4 day adverb
\bq\s*(?:6(?:\.0+)?|six)\s*(?:hours|hour|hrs|hr|h)\b,4,1,frequency,q 6 hour
\bevery\s+(?:6(?:\.0+)?|six)\s+(?:hours|hour|hrs|hr|h)\b,4,1,frequency,every 6 hour
\bq\s*(?:5(?:\.0+)?|five)\s*(?:hours|hour|hrs|hr|h)\b,4.8,1,frequency,q 5 hour
\bevery\s+(?:5(?:\.0+)?|five)\s+(?:hours|hour|hrs|hr|h)\b,4.8,1,frequency,every 5 hour
\b(?:5(?:\.0+)?|five)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,5,1,frequency,5 per day
\b(?:5(?:\.0+)?|five)\s+(?:daily)\b,5,1,frequency,5 day adverb
\bq\s*(?:4(?:\.0+)?|four)\s*(?:hours|hour|hrs|hr|h)\b,6,1,frequency,q 4 hour
\b(?:6(?:\.0+)?|six)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,6,1,frequency,6 per day
\b(?:6(?:\.0+)?|six)\s+(?:daily)\b,6,1,frequency,6 day adverb
\bevery\s+(?:4(?:\.0+)?|four)\s+(?:hours|hour|hrs|hr|h)\b,6,1,frequency,every 4 hour
\b(?:7(?:\.0+)?|seven)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,7,1,frequency,7 per day
\b(?:7(?:\.0+)?|seven)\s+(?:daily)\b,7,1,frequency,7 day adverb
\bq\s*(?:3(?:\.0+)?|three)\s*(?:hours|hour|hrs|hr|h)\b,8,1,frequency,q 3 hour
\b(?:8(?:\.0+)?|eight)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,8,1,frequency,8 per day
\b(?:8(?:\.0+)?|eight)\s+(?:daily)\b,8,1,frequency,8 day adverb
\bevery\s+(?:3(?:\.0+)?|three)\s+(?:hours|hour|hrs|hr|h)\b,8,1,frequency,every 3 hour
\b(?:9(?:\.0+)?|nine)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,9,1,frequency,9 per day
\b(?:9(?:\.0+)?|nine)\s+(?:daily)\b,9,1,frequency,9 day adverb
\b(?:10(?:\.0+)?|ten)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,10,1,frequency,10 per day
\b(?:10(?:\.0+)?|ten)\s+(?:daily)\b,10,1,frequency,10 day adverb
\b(?:11(?:\.0+)?|eleven)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,11,1,frequency,11 per day
\b(?:11(?:\.0+)?|eleven)\s+(?:daily)\b,11,1,frequency,11 day adverb
\bq\s*(?:2(?:\.0+)?|two)\s*(?:hours|hour|hrs|hr|h)\b,12,1,frequency,q 2 hour
\b(?:12(?:\.0+)?|twelve)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:24\s*(?:hours?|hrs?|h)|daily|days|day|d)\b,12,1,frequency,12 per day
\b(?:12(?:\.0+)?|twelve)\s+(?:daily)\b,12,1,frequency,12 day adverb
\bevery\s+(?:2(?:\.0+)?|two)\s+(?:hours|hour|hrs|hr|h)\b,12,1,frequency,every 2 hour
\b(?:1(?:\.0+)?|one)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:hours|hour|hrs|hr|h)\b,24,1,frequency,1 per hour
\b(?:1(?:\.0+)?|one)\s+(?:hourly)\b,24,1,frequency,1 hour adverb
\bq\s*(?:1(?:\.0+)?|one)\s*(?:hours|hour|hrs|hr|h)\b,24,1,frequency,q 1 hour
\bevery\s+(?:1(?:\.0+)?|one)\s+(?:hours|hour|hrs|hr|h)\b,24,1,frequency,every 1 hour
\b(?:2(?:\.0+)?|two)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:hours|hour|hrs|hr|h)\b,48,1,frequency,2 per hour
\b(?:2(?:\.0+)?|two)\s+(?:hourly)\b,48,1,frequency,2 hour adverb
\b(?:3(?:\.0+)?|three)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:hours|hour|hrs|hr|h)\b,72,1,frequency,3 per hour
\b(?:3(?:\.0+)?|three)\s+(?:hourly)\b,72,1,frequency,3 hour adverb
\b(?:4(?:\.0+)?|four)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:hours|hour|hrs|hr|h)\b,96,1,frequency,4 per hour
\b(?:4(?:\.0+)?|four)\s+(?:hourly)\b,96,1,frequency,4 hour adverb
\b(?:5(?:\.0+)?|five)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:hours|hour|hrs|hr|h)\b,120,1,frequency,5 per hour
\b(?:5(?:\.0+)?|five)\s+(?:hourly)\b,120,1,frequency,5 hour adverb
\b(?:6(?:\.0+)?|six)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:hours|hour|hrs|hr|h)\b,144,1,frequency,6 per hour
\b(?:6(?:\.0+)?|six)\s+(?:hourly)\b,144,1,frequency,6 hour adverb
\b(?:7(?:\.0+)?|seven)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:hours|hour|hrs|hr|h)\b,168,1,frequency,7 per hour
\b(?:7(?:\.0+)?|seven)\s+(?:hourly)\b,168,1,frequency,7 hour adverb
\b(?:8(?:\.0+)?|eight)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:hours|hour|hrs|hr|h)\b,192,1,frequency,8 per hour
\b(?:8(?:\.0+)?|eight)\s+(?:hourly)\b,192,1,frequency,8 hour adverb
\b(?:9(?:\.0+)?|nine)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:hours|hour|hrs|hr|h)\b,216,1,frequency,9 per hour
\b(?:9(?:\.0+)?|nine)\s+(?:hourly)\b,216,1,frequency,9 hour adverb
\b(?:10(?:\.0+)?|ten)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:hours|hour|hrs|hr|h)\b,240,1,frequency,10 per hour
\b(?:10(?:\.0+)?|ten)\s+(?:hourly)\b,240,1,frequency,10 hour adverb
\b(?:11(?:\.0+)?|eleven)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:hours|hour|hrs|hr|h)\b,264,1,frequency,11 per hour
\b(?:11(?:\.0+)?|eleven)\s+(?:hourly)\b,264,1,frequency,11 hour adverb
\b(?:12(?:\.0+)?|twelve)\s*(?:(?:(?:x|times?)\s*)?(?:/\s*|same\s*|each\s*|every\s*|per\s*|a\s*)|(?:(?:x|times?)\s*))(?:hours|hour|hrs|hr|h)\b,288,1,frequency,12 per hour
\b(?:12(?:\.0+)?|twelve)\s+(?:hourly)\b,288,1,frequency,12 hour adverb
\bevery other month\b,0.016666667,1,frequency,
\bqmonth\b,0.033333333,1,frequency,
\bevery other week\b,0.071428571,1,frequency,
\bq\s*(?:w|wk|week)\b,0.142857143,1,frequency,
\bevery 4th day\b,0.25,1,frequency,
\b(?:biw|biweekly|bi-weekly)\b,0.285714286,1,frequency,biw
\btiw\b,0.428571429,1,frequency,
\b(?:every other day|qod|every other night)\b,0.5,1,frequency,
\b(?:once\s*(?:daily|a\s*day|per\s*day|every\s*day|each\s*day))\b,1,1,frequency,once daily
\b(?:every\s*24\s*(?:hours?|hrs?))\b,1,1,frequency,
\bq\s*/?\s*(?:day|d)\b,1,1,frequency,
\bqam\b,1,1,frequency,
\bq am\b,1,1,frequency,
\bq pm\b,1,1,frequency,
\bonce\s*(a|per)?\s*day\b,1,1,frequency,once daily
\b1\s*(x|times?)?\s*(/|per|a)?\s*day\b,1,1,frequency,once daily
\b1\s*/\s*day\b,1,1,frequency,once daily
\b1\s*per\s*day\b,1,1,frequency,once daily
\bevery am\b,1,1,frequency,
\bevery pm\b,1,1,frequency,
\bevery evening\b,1,1,frequency,
\bat hour of sleep\b,1,1,frequency,
\bq\s*a\.?\s*m\.?\b,1,1,frequency,1x/day
\bq\s*p\.?\s*m\.?\b,1,1,frequency,1x/day
\bq\s*h\.?\s*s\.?\b,1,1,frequency,1x/day
\bq-day\b,1,1,frequency,
\bq24 hours\b,1,1,frequency,
\bb[\.\s]*i?[\.\s]*d\b,2,1,frequency,bid
\btwice\s*(?:daily|a day|per day)\b,2,1,frequency,
\b2x\s*/?\s*d\b,2,1,frequency,2x/day
\btwice same day\b,2,1,frequency,
\btid\b,3,1,frequency,tid
\b3x\s*/?\s*d\b,3,1,frequency,3x/day
\bqid\b,4,1,frequency,qid
\b4x\s*/?\s*d\b,4,1,frequency,4x/day
\bas\s+needed\b,prn,1,prn,
\bas\s+required\b,prn,1,prn,
\bwhen\s+needed\b,prn,1,prn,
\bif\s+needed\b,prn,1,prn,
prn\b,prn,1,prn,
\brarely\b,prn,1,prn,
\bintermittent\b,prn,1,prn,
\bq\s*y\s*r\b,0.0027,2,frequency,1/365
\bqyr\b,0.0027,2,frequency,1/365
(?:/|\bper\b|\ba\b|x)\s*(?:y|yr|year)(?![a-z]),0.002739726,2,frequency,
\bq\s*m\s*o\b,0.0333,2,frequency,30-Jan
\bqmo\b,0.0333,2,frequency,30-Jan
(?:/|\bper\b|\ba\b|x)\s*(?:m|mo|month)(?![a-z]),0.033333333,2,frequency,
\bmonthly\b,0.033333333,2,frequency,
\bq\s*w\s*k\b,0.142857,2,frequency,7-Jan
\bqwk\b,0.142857,2,frequency,7-Jan
\bqw\b,0.142857,2,frequency,7-Jan
\bweekly\b,0.142857143,2,frequency,weekly
\bq\s*o\s*d\b,0.5,2,frequency,0.5x/day
\bqod\b,0.5,2,frequency,0.5x/day
\bevery\s*other\s*day\b,0.5,2,frequency,0.5x/day
\balt\s*days\b,0.5,2,frequency,0.5x/day
\b(?:q\.?\s*d\.?|od|q24h|q24)\b,1,2,frequency,
(?:/|\bper\b|\ba\b|x)\s*(?:d|day|daily)(?![a-z]),1,2,frequency,
(?:/|\bper\b|\ba\b|x)\s*(?:24h|24hr|24hrs|24hour|24hours)(?![a-z]),1,2,frequency,
\bdaily\b,1,2,frequency,
\bqpm\b,1,2,frequency,
\bhs\b,1,2,frequency,
\bnightly\b,1,2,frequency,
\bevery night\b,1,2,frequency,
\bevery hour of sleep\b,1,2,frequency,
\bqhs\b,1,2,frequency,
\bq\.?\s*d\.?\b,1,2,frequency,once daily
\bq\s*d\b,1,2,frequency,once daily
\bq\s*\.?\s*d\b,1,2,frequency,once daily
\bq\s*day\b,1,2,frequency,once daily
\bqdaily\b,1,2,frequency,once daily
\bod\b,1,2,frequency,once daily
\bsid\b,1,2,frequency,once daily
\bevery\s*day\b,1,2,frequency,once daily
\bq\s*24\s*h\b,1,2,frequency,1x/day
\bq24h\b,1,2,frequency,1x/day
\b24 hours\b,1,2,frequency,
\b1\s*x\b,1x,2,frequency,
\bonce\b,1x,2,frequency,once (no unit)
\bb\s*i\s*d\b,2,2,frequency,2x/day
\bbidly\b,2,2,frequency,2x/day
\bbd\b,2,2,frequency,2x/day
\bb\s*d\b,2,2,frequency,2x/day
\bbid\s*ac\b,2,2,frequency,2x/day
\bbid\s*pc\b,2,2,frequency,2x/day
\b2\s*x\s*daily\b,2,2,frequency,2x/day
\bqh\b,24,2,frequency,
\btwice\b,2x,2,frequency,twice (no unit)
\bt\.?\s*i\.?\s*d\.?\b,3,2,frequency,3x/day
\bt\s*i\s*d\b,3,2,frequency,3x/day
\btid\s*ac\b,3,2,frequency,3x/day
\btid\s*pc\b,3,2,frequency,3x/day
\b3\s*x\s*daily\b,3,2,frequency,3x/day
\bq\.?\s*i\.?\s*d\.?\b,4,2,frequency,4x/day
\bq\s*i\s*d\b,4,2,frequency,4x/day
\b4\s*x\s*daily\b,4,2,frequency,4x/day
\bprn\b,prn,2,prn,prn
\bas\s*req\b,prn,2,prn,prn
\boccasionally\b,prn,2,prn,prn
