raw,canonical,snomed_code,root_category
every 72 hours as required,every seventy two hours as required,1801000175107,307485003
every seventy two hours as needed,every seventy two hours as required,1801000175107,307485003
every seventy two hours as required,every seventy two hours as required,1801000175107,307485003
every seventy two hours as required (qualifier value),every seventy two hours as required,1801000175107,307485003
every 6 hours as needed,every six hours as required,1811000175105,307485003
every 6 hours as required,every six hours as required,1811000175105,307485003
every six hours as needed,every six hours as required,1811000175105,307485003
every six hours as required,every six hours as required,1811000175105,307485003
every six hours as required (qualifier value),every six hours as required,1811000175105,307485003
every 10 minutes as needed,every ten minutes as required,1591000175102,307485003
every 10 minutes as required,every ten minutes as required,1591000175102,307485003
every ten minutes as needed,every ten minutes as required,1591000175102,307485003
every ten minutes as required,every ten minutes as required,1591000175102,307485003
every ten minutes as required (qualifier value),every ten minutes as required,1591000175102,307485003
every 30 minutes as needed,every thirty minutes as required,1601000175106,307485003
every 30 minutes as required,every thirty minutes as required,1601000175106,307485003
every thirty minutes as needed,every thirty minutes as required,1601000175106,307485003
every thirty minutes as required,every thirty minutes as required,1601000175106,307485003
every thirty minutes as required (qualifier value),every thirty minutes as required,1601000175106,307485003
every 3 hours as needed,every three hours as required,1821000175101,307485003
every 3 hours as required,every three hours as required,1821000175101,307485003
every three hours as needed,every three hours as required,1821000175101,307485003
every three hours as required,every three hours as required,1821000175101,307485003
every three hours as required (qualifier value),every three hours as required,1821000175101,307485003
every 3-4 hours as needed,every three to four hours as required,9771000175109,307485003
every 3-4 hours as required,every three to four hours as required,9771000175109,307485003
every three to four hours as needed,every three to four hours as required,9771000175109,307485003
every three to four hours as required,every three to four hours as required,9771000175109,307485003
every three to four hours as required (qualifier value),every three to four hours as required,9771000175109,307485003
every 12 hours as needed,every twelve hours as required,1831000175103,307485003
every 12 hours as required,every twelve hours as required,1831000175103,307485003
every twelve hours as needed,every twelve hours as required,1831000175103,307485003
every twelve hours as required,every twelve hours as required,1831000175103,307485003
every twelve hours as required (qualifier value),every twelve hours as required,1831000175103,307485003
every 2 hours as needed,every two hours as required,1841000175109,307485003
every 2 hours as required,every two hours as required,1841000175109,307485003
every two hours as needed,every two hours as required,1841000175109,307485003
every two hours as required,every two hours as required,1841000175109,307485003
every two hours as required (qualifier value),every two hours as required,1841000175109,307485003
every 2-3 hours as needed,every two to three hours as required,9781000175107,307485003
every 2-3 hours as required,every two to three hours as required,9781000175107,307485003
every two to three hours as needed,every two to three hours as required,9781000175107,307485003
every two to three hours as required,every two to three hours as required,9781000175107,307485003
every two to three hours as required (qualifier value),every two to three hours as required,9781000175107,307485003
four times daily as needed,four times daily as required,1871000175100,307485003
four times daily as required,four times daily as required,1871000175100,307485003
four times daily as required (qualifier value),four times daily as required,1871000175100,307485003
irregular frequency,irregular frequency,307485003,307485003
irregular frequency (qualifier value),irregular frequency,307485003,307485003
three times daily as needed,three times daily as required,1891000175104,307485003
three times daily as required,three times daily as required,1891000175104,307485003
three times daily as required (qualifier value),three times daily as required,1891000175104,307485003
two times daily as needed,two times daily as required,1901000175100,307485003
two times daily as required,two times daily as required,1901000175100,307485003
two times daily as required (qualifier value),two times daily as required,1901000175100,307485003
as required,when required,225761000,307485003
as required (qualifier value),when required,225761000,307485003
prn,when required,225761000,307485003
prn - as required,when required,225761000,307485003
when required,when required,225761000,307485003
prn - when required,when required,225761000,307485003
